Current,Tension
-0.000350268,-5.09717
-0.000350196,-4.99712
-0.000349498,-4.8977
-0.000349152,-4.7952
-0.000348658,-4.69552
-0.000347893,-4.59664
-0.00034728,-4.49712
-0.000346218,-4.3977
-0.000346223,-4.29808
-0.000344917,-4.19831
-0.000344738,-4.09558
-0.000344578,-3.9963
-0.000343613,-3.89659
-0.000343222,-3.79749
-0.000342276,-3.69804
-0.000341073,-3.59866
-0.000341436,-3.4958
-0.000340315,-3.39612
-0.000339284,-3.29658
-0.00033895,-3.19704
-0.000338736,-3.0978
-0.000337878,-2.99813
-0.000337159,-2.89575
-0.000336556,-2.79628
-0.000335731,-2.6968
-0.00033501,-2.597
-0.000334053,-2.49737
-0.000333135,-2.39782
-0.000332679,-2.29541
-0.000331641,-2.19577
-0.000330713,-2.0965
-0.000330238,-1.99703
-0.000328806,-1.89767
-0.000328192,-1.79796
-0.000327347,-1.69811
-0.000326374,-1.5952
-0.000325225,-1.49573
-0.000323965,-1.39642
-0.000323417,-1.29671
-0.000322455,-1.19781
-0.000321073,-1.09833
-0.000319804,-0.99562
-0.000317933,-0.89599
-0.000317573,-0.79612
-0.000315945,-0.69678
-0.000315412,-0.59756
-0.000314096,-0.498
-0.000312047,-0.39518
-0.00031111,-0.29589
-0.000309823,-0.19641
-0.000308655,-0.09665
-0.000306626,0.00318
-0.000305571,0.1022
-0.000303643,0.20205
-0.000302487,0.30144
-0.000300726,0.40099
-0.000298974,0.50007
-0.000297074,0.60293
-0.000294767,0.70231
-0.000293457,0.80178
-0.000291643,0.90162
-0.000289419,1.00114
-0.000286091,1.10052
-0.000285257,1.20009
-0.000282248,1.30261
-0.000280176,1.40205
-0.000278475,1.50137
-0.000275968,1.60079
-0.000272878,1.70061
-0.000270772,1.80047
-0.000267488,1.90324
-0.000264744,2.00254
-0.000262666,2.10216
-0.000259605,2.20114
-0.000256795,2.3008
-0.000253211,2.39998
-0.000250751,2.50293
-0.000247098,2.60273
-0.000244264,2.70238
-0.00024089,2.80158
-0.000236137,2.90118
