Ampere,Tension
-0.001335818,-21.99919891
-0.001342345,-22.49886894
-0.00134885,-23.00118256
-0.001353132,-23.50004196
-0.001361116,-23.99975395
-0.001366254,-24.49863625
-0.001372821,-25.00129509
-0.001377966,-25.50015068
-0.001385645,-25.99948692
-0.001391227,-26.49896622
-0.00139791,-26.99804688
-0.0014035,-27.50097656
-0.001410032,-27.99994659
-0.00141658,-28.49944115
-0.001421419,-28.99856758
-0.001427971,-29.50102043
-0.001435895,-30.00032234
-0.001440445,-30.49936485
-0.00144609,-30.99905968
-0.0014533,-31.50123215
-0.001458493,-32.00026703
-0.001464687,-32.50052643
-0.001470039,-32.99959183
-0.001479813,-33.49909592
-0.001483406,-34.0013237
-0.001489284,-34.50059891
-0.001495298,-35.00006104
-0.001502378,-35.49892426
-0.001508513,-36.00194168
-0.001513138,-36.50086975
-0.001522922,-37.00040817
-0.001525366,-37.4995079
-0.001530456,-37.99840927
-0.001538079,-38.50121689
-0.001540686,-39.00001907
-0.001547528,-39.49980545
-0.001553993,-39.99900055
